#Da biste uvek imali aktuelne stope, redovno ažurirajte Paragraf Lex
#Datum Od;Datum Do;Metod (1=prvokam-2=prvoglav);Metod (1=prop-2=konf);JP Metod (1=prop-2=konf);Denomimacija;Den(-1=ne-0=da);Zakonska dummy;Zakonska stopa;Zakonska EUR dummy;Zakonska EUR;Rast cena na malo/Ind. pot. cena;Poreska;Stop ECB;Eskontna god;Referentna god
01.01.1980.;31.01.1980.;2;2;2;0;-1;#;#;#;#;3.3000;#;#;#;#
01.02.1980.;29.02.1980.;2;2;2;0;-1;#;#;#;#;3.3000;#;#;#;#
01.03.1980.;31.03.1980.;2;2;2;0;-1;#;#;#;#;1.8000;#;#;#;#
01.04.1980.;30.04.1980.;2;2;2;0;-1;#;#;#;#;1.9000;#;#;#;#
01.05.1980.;31.05.1980.;2;2;2;0;-1;#;#;#;#;1.0000;#;#;#;#
01.06.1980.;30.06.1980.;2;2;2;0;-1;#;#;#;#;3.6000;#;#;#;#
01.07.1980.;31.07.1980.;2;2;2;0;-1;#;#;#;#;3.8000;#;#;#;#
01.08.1980.;31.08.1980.;2;2;2;0;-1;#;#;#;#;1.1000;#;#;#;#
01.09.1980.;30.09.1980.;2;2;2;0;-1;#;#;#;#;3.2000;#;#;#;#
01.10.1980.;31.10.1980.;2;2;2;0;-1;#;#;#;#;5.3000;#;#;#;#
01.11.1980.;30.11.1980.;2;2;2;0;-1;#;#;#;#;2.5000;#;#;#;#
01.12.1980.;31.12.1980.;2;2;2;0;-1;#;#;#;#;2.6000;#;#;#;#
01.01.1981.;31.01.1981.;2;2;2;0;-1;#;#;#;#;8.4000;#;#;#;#
01.02.1981.;28.02.1981.;2;2;2;0;-1;#;#;#;#;3.9000;#;#;#;#
01.03.1981.;31.03.1981.;2;2;2;0;-1;#;#;#;#;3.1000;#;#;#;#
01.04.1981.;30.04.1981.;2;2;2;0;-1;#;#;#;#;2.8000;#;#;#;#
01.05.1981.;31.05.1981.;2;2;2;0;-1;#;#;#;#;3.4000;#;#;#;#
01.06.1981.;30.06.1981.;2;2;2;0;-1;#;#;#;#;1.7000;#;#;#;#
01.07.1981.;31.07.1981.;2;2;2;0;-1;#;#;#;#;1.1000;#;#;#;#
01.08.1981.;31.08.1981.;2;2;2;0;-1;#;#;#;#;0.9000;#;#;#;#
01.09.1981.;30.09.1981.;2;2;2;0;-1;#;#;#;#;2.4000;#;#;#;#
01.10.1981.;31.10.1981.;2;2;2;0;-1;#;#;#;#;3.7000;#;#;#;#
01.11.1981.;30.11.1981.;2;2;2;0;-1;#;#;#;#;1.5000;#;#;#;#
01.12.1981.;31.12.1981.;2;2;2;0;-1;#;#;#;#;1.1000;#;#;#;#
01.01.1982.;31.01.1982.;2;2;2;0;-1;#;#;#;#;1.4000;#;#;#;#
01.02.1982.;28.02.1982.;2;2;2;0;-1;#;#;#;#;2.0000;#;#;#;#
01.03.1982.;31.03.1982.;2;2;2;0;-1;#;#;#;#;2.0000;#;#;#;#
01.04.1982.;30.04.1982.;2;2;2;0;-1;#;#;#;#;2.0000;#;#;#;#
01.05.1982.;31.05.1982.;2;2;2;0;-1;#;#;#;#;3.7000;#;#;#;#
01.06.1982.;30.06.1982.;2;2;2;0;-1;#;#;#;#;2.6000;#;#;#;#
01.07.1982.;31.07.1982.;2;2;2;0;-1;#;#;#;#;4.1000;#;#;#;#
01.08.1982.;31.08.1982.;2;2;2;0;-1;#;#;#;#;1.4000;#;#;#;#
01.09.1982.;30.09.1982.;2;2;2;0;-1;#;#;#;#;2.4000;#;#;#;#
01.10.1982.;31.10.1982.;2;2;2;0;-1;#;#;#;#;2.1000;#;#;#;#
01.11.1982.;30.11.1982.;2;2;2;0;-1;#;#;#;#;2.2000;#;#;#;#
01.12.1982.;31.12.1982.;2;2;2;0;-1;#;#;#;#;1.2000;#;#;#;#
01.01.1983.;31.01.1983.;2;2;2;0;-1;#;#;#;#;1.2000;#;#;#;#
01.02.1983.;28.02.1983.;2;2;2;0;-1;#;#;#;#;2.5000;#;#;#;#
01.03.1983.;31.03.1983.;2;2;2;0;-1;#;#;#;#;2.6000;#;#;#;#
01.04.1983.;30.04.1983.;2;2;2;0;-1;#;#;#;#;4.9000;#;#;#;#
01.05.1983.;31.05.1983.;2;2;2;0;-1;#;#;#;#;2.6000;#;#;#;#
01.06.1983.;30.06.1983.;2;2;2;0;-1;#;#;#;#;2.7000;#;#;#;#
01.07.1983.;31.07.1983.;2;2;2;0;-1;#;#;#;#;1.9000;#;#;#;#
01.08.1983.;31.08.1983.;2;2;2;0;-1;#;#;#;#;4.7000;#;#;#;#
01.09.1983.;30.09.1983.;2;2;2;0;-1;#;#;#;#;7.6000;#;#;#;#
01.10.1983.;31.10.1983.;2;2;2;0;-1;#;#;#;#;4.9000;#;#;#;#
01.11.1983.;30.11.1983.;2;2;2;0;-1;#;#;#;#;4.1000;#;#;#;#
01.12.1983.;31.12.1983.;2;2;2;0;-1;#;#;#;#;7.3000;#;#;#;#
01.01.1984.;31.01.1984.;2;2;2;0;-1;#;#;#;#;2.3000;#;#;#;#
01.02.1984.;29.02.1984.;2;2;2;0;-1;#;#;#;#;1.4000;#;#;#;#
01.03.1984.;31.03.1984.;2;2;2;0;-1;#;#;#;#;1.1000;#;#;#;#
01.04.1984.;30.04.1984.;2;2;2;0;-1;#;#;#;#;2.2000;#;#;#;#
01.05.1984.;31.05.1984.;2;2;2;0;-1;#;#;#;#;2.2000;#;#;#;#
01.06.1984.;30.06.1984.;2;2;2;0;-1;#;#;#;#;6.3000;#;#;#;#
01.07.1984.;31.07.1984.;2;2;2;0;-1;#;#;#;#;5.4000;#;#;#;#
01.08.1984.;31.08.1984.;2;2;2;0;-1;#;#;#;#;3.3000;#;#;#;#
01.09.1984.;30.09.1984.;2;2;2;0;-1;#;#;#;#;5.4000;#;#;#;#
01.10.1984.;31.10.1984.;2;2;2;0;-1;#;#;#;#;6.0000;#;#;#;#
01.11.1984.;30.11.1984.;2;2;2;0;-1;#;#;#;#;3.9000;#;#;#;#
